iter	Passed	Remaining
402	14445	57244
403	14480	57203
404	14515	57167
405	14545	57105
406	14578	57060
407	14615	57029
408	14647	56977
409	14683	56943
410	14718	56905
411	14754	56868
412	14788	56825
413	14829	56811
414	14868	56786
415	14910	56773
416	14944	56729
417	14978	56689
418	15013	56649
419	15052	56624
420	15085	56579
421	15119	56537
422	15155	56502
423	15188	56455
424	15218	56399
425	15254	56364
426	15284	56306
427	15321	56274
428	15357	56240
429	15393	56202
430	15427	56163
431	15464	56129
432	15500	56096
433	15526	56023
434	15561	55986
435	15595	55943
436	15628	55899
437	15669	55881
438	15708	55857
439	15743	55818
440	15772	55756
441	15808	55721
442	15842	55681
443	15878	55646
444	15917	55623
445	15954	55590
446	15992	55561
447	16018	55491
448	16049	55439
449	16083	55400
450	16115	55349
451	16150	55311
452	16183	55265
453	16219	55233
454	16260	55214
455	16296	55178
456	16330	55139
457	16368	55109
458	16411	55097
459	16448	55067
460	16484	55030
461	16517	54988
462	16552	54947
463	16587	54910
464	16625	54881
465	16659	54841
466	16691	54791
467	16727	54757
468	16759	54709
469	16792	54664
470	16830	54636
471	16867	54603
472	16905	54577
473	16943	54548
474	16982	54521
475	17021	54496
476	17064	54485
477	17101	54453
478	17141	54430
479	17176	54392
480	17211	54353
481	17245	54312
482	17279	54271
483	17316	54240
484	17349	54194
485	17385	54160
486	17420	54121
487	17455	54083
488	17488	54039
489	17521	53996
490	17557	53960
491	17590	53916
492	17627	53884
493	17666	53858
494	17704	53828
495	17738	53787
496	17773	53750
497	17807	53709
498	17841	53666
499	17879	53639
500	17915	53604
501	17951	53568
502	17985	53527
503	18019	53486
504	18057	53457
505	18091	53417
506	18133	53399
507	18204	53467
508	18245	53447
509	18281	53410
510	18316	53372
511	18350	53329
512	18377	53268
513	18414	53236
514	18449	53199
515	18487	53168
516	18521	53129
517	18557	53092
518	18590	53050
519	18630	53025
520	18666	52990
521	18701	52951
522	18736	52914
523	18769	52870
524	18804	52832
525	18839	52794
526	18876	52760
527	18912	52727
528	18951	52698
529	18989	52669
530	19028	52641
531	19067	52616
532	19105	52586
533	19140	52546
534	19192	52553
535	19255	52594
536	19299	52580
537	19336	52547
538	19374	52514
539	19407	52472
540	19449	52451
541	19484	52413
542	19520	52378
543	19557	52346
544	19593	52308
545	19625	52261
546	19658	52218
547	19694	52183
548	19728	52142
549	19765	52109
550	19802	52076
551	19835	52032
552	19875	52005
553	19916	51984
554	19956	51958
555	19996	51933
556	20035	51906
557	20071	51869
558	20109	51839
559	20143	51797
560	20178	51757
561	20215	51725
562	20250	51688
563	20290	51660
564	20328	51630
565	20369	51606
566	20409	51580
567	20445	51546
568	20482	51511
569	20514	51467
570	20550	51429
571	20586	51393
572	20625	51364
573	20661	51330
574	20699	51297
575	20734	51260
576	20768	51219
577	20789	51146
578	20826	51113
579	20863	51078
580	20900	51045
581	20933	51003
582	20969	50965
583	21004	50927
584	21045	50904
585	21079	50864
586	21116	50830
587	21151	50792
588	21187	50756
589	21225	50726
590	21254	50673
591	21289	50635
592	21324	50595
593	21362	50564
594	21398	50528
595	21432	50489
596	21469	50456
597	21509	50429
598	21531	50360
599	21567	50323
600	21609	50303
601	21644	50263
602	21679	50225
603	21716	50193
604	21750	50152
605	21786	50115
606	21821	50078
607	21863	50055
608	21897	50016
609	21933	49979
610	21965	49934
611	21997	49889
612	22034	49856
613	22066	49811
614	22102	49775
615	22138	49740
616	22178	49712
617	22211	49669
618	22245	49629
619	22281	49593
620	22315	49553
621	22353	49521
622	22389	49487
623	22428	49457
624	22458	49408
625	22490	49363
626	22526	49329
627	22565	49298
628	22604	49270
629	22637	49228
630	22673	49192
631	22710	49157
632	22744	49118
633	22781	49085
634	22817	49047
635	22857	49022
636	22899	48998
637	22941	48975
638	22975	48934
639	23018	48913
640	23056	48882
641	23088	48837
642	23124	48801
643	23160	48765
644	23194	48725
645	23231	48691
646	23264	48649
647	23301	48616
648	23345	48596
649	23384	48567
650	23419	48529
651	23453	48489
652	23490	48455
653	23524	48416
654	23558	48376
655	23596	48343
656	23631	48306
657	23671	48278
658	23714	48257
659	23754	48228
660	23796	48204
661	23832	48169
662	23867	48130
663	23898	48085
664	23934	48049
665	23967	48007
666	24001	47966
667	24038	47933
668	24074	47897
669	24108	47856
670	24141	47815
671	24178	47781
672	24214	47745
673	24251	47711
674	24289	47680
675	24326	47644
676	24357	47600
677	24392	47562
678	24428	47525
679	24464	47489
